summer,Column2,,,Summer,Autumn,Winter,Spring
15/01/2021 0:00,85.13,,Lowest value,81.23,56.95,69.66,64.07
15/01/2021 1:00,84.79,,Highest value,88.8,73.26,74.12,86.16
15/01/2021 2:00,84.71,,,,,,
15/01/2021 3:00,84.79,,Total range,56.95,to,88.8,
15/01/2021 4:00,85.51,,Difference ,33,5.5,,
15/01/2021 5:00,86.11,,,,,,
15/01/2021 6:00,86.09,,Colour thresholds,1,x < 60,,
15/01/2021 7:00,81.76,,,2,60 < x < 65.5,,
15/01/2021 8:00,81.23,,,3,65.5 < x < 70,,
15/01/2021 9:00,84.00,,,4,70 < x < 72,,
15/01/2021 10:00,85.94,,,5,72.25 < x < 75.5,,
15/01/2021 11:00,86.55,,,6,75.5 < x < 80,,
15/01/2021 12:00,86.76,,,7,80 < x < 85,,
15/01/2021 13:00,87.12,,,8,x > 85,,
15/01/2021 14:00,87.20,,,,,,
15/01/2021 15:00,87.36,,,,,,
15/01/2021 16:00,87.78,,,,,,
15/01/2021 17:00,88.09,,,,https://cssgradient.io/,,
15/01/2021 18:00,88.40,,,,,,
15/01/2021 19:00,88.80,,,,,,
15/01/2021 20:00,87.22,,,,,,
15/01/2021 21:00,88.01,,,,,,
15/01/2021 22:00,86.07,,,,,,
15/01/2021 23:00,85.61,,,,,,
,,,,,,,
Autumn,Column2,,,,,,
15/04/2021 0:00,56.95,,,,,,
15/04/2021 1:00,57.77,,,,,,
15/04/2021 2:00,59.05,,,,,,
15/04/2021 3:00,59.89,,,,,,
15/04/2021 4:00,60.81,,,,,,
15/04/2021 5:00,61.48,,,,,,
15/04/2021 6:00,61.48,,,,,,
15/04/2021 7:00,60.94,,,,,,
15/04/2021 8:00,61.18,,,,,,
15/04/2021 9:00,62.10,,,,,,
15/04/2021 10:00,62.57,,,,,,
15/04/2021 11:00,62.88,,,,,,
15/04/2021 12:00,63.03,,,,,,
15/04/2021 13:00,62.76,,,,,,
15/04/2021 14:00,62.65,,,,,,
15/04/2021 15:00,63.05,,,,,,
15/04/2021 16:00,64.16,,,,,,
15/04/2021 17:00,68.52,,,,,,
15/04/2021 18:00,72.25,,,,,,
15/04/2021 19:00,73.26,,,,,,
15/04/2021 20:00,70.91,,,,,,
15/04/2021 21:00,66.08,,,,,,
15/04/2021 22:00,62.28,,,,,,
15/04/2021 23:00,60.85,,,,,,
,,,,,,,
Winter,Column2,,,,,,
15/07/2021 0:00,70.06,,,,,,
15/07/2021 1:00,70.53,,,,,,
15/07/2021 2:00,70.41,,,,,,
15/07/2021 3:00,70.49,,,,,,
15/07/2021 4:00,71.18,,,,,,
15/07/2021 5:00,71.64,,,,,,
15/07/2021 6:00,71.28,,,,,,
15/07/2021 7:00,71.48,,,,,,
15/07/2021 8:00,72.24,,,,,,
15/07/2021 9:00,72.87,,,,,,
15/07/2021 10:00,73.44,,,,,,
15/07/2021 11:00,74.12,,,,,,
15/07/2021 12:00,73.93,,,,,,
15/07/2021 13:00,73.14,,,,,,
15/07/2021 14:00,72.96,,,,,,
15/07/2021 15:00,72.80,,,,,,
15/07/2021 16:00,73.27,,,,,,
15/07/2021 17:00,73.89,,,,,,
15/07/2021 18:00,73.24,,,,,,
15/07/2021 19:00,73.52,,,,,,
15/07/2021 20:00,73.55,,,,,,
15/07/2021 21:00,72.16,,,,,,
15/07/2021 22:00,70.26,,,,,,
15/07/2021 23:00,69.66,,,,,,
,,,,,,,
Spring,Column2,,,,,,
15/10/2021 0:00,86.16,,,,,,
15/10/2021 1:00,86.13,,,,,,
15/10/2021 2:00,86.00,,,,,,
15/10/2021 3:00,85.64,,,,,,
15/10/2021 4:00,85.70,,,,,,
15/10/2021 5:00,85.53,,,,,,
15/10/2021 6:00,81.78,,,,,,
15/10/2021 7:00,82.32,,,,,,
15/10/2021 8:00,80.53,,,,,,
15/10/2021 9:00,77.19,,,,,,
15/10/2021 10:00,75.89,,,,,,
15/10/2021 11:00,74.28,,,,,,
15/10/2021 12:00,72.32,,,,,,
15/10/2021 13:00,70.36,,,,,,
15/10/2021 14:00,70.12,,,,,,
15/10/2021 15:00,69.85,,,,,,
15/10/2021 16:00,69.93,,,,,,
15/10/2021 17:00,69.27,,,,,,
15/10/2021 18:00,68.60,,,,,,
15/10/2021 19:00,68.39,,,,,,
15/10/2021 20:00,68.64,,,,,,
15/10/2021 21:00,67.47,,,,,,
15/10/2021 22:00,64.56,,,,,,
15/10/2021 23:00,64.08,,,,,,
,,,,,,,
